lat,lon,name,qs_rank,ti_rank,sh_rank,rank,invRank,EN,DE,FR,IT,ES,PT,RU,ZH,JA,AR
49.7830083,9.9708462,University of Würzburg,485.5,165,175.5,280,0.0036319612590799033,Germany,Deutschland,Allemagne,Germania,Alemania,Alemanha,Германия,德国,ドイツ,ألمانيا
-33.4445204,-70.6509277,University of Chile,201,-,350.5,280,0.003626473254759746,Chile,Chile,Chili,Cile,Chile,Chile,Чили,智利,チリ,تشيلي
51.5631406,5.0419736,Tilburg University,357,195,-,280,0.0036231884057971015,Netherlands,Niederlande,Pays-Bas,Paesi Bassi,Países Bajos,Holanda,Нидерланды,荷兰,オランダ,هولندا
-6.3627638,106.8270482,Universitas Indonesia,277,-,-,280,0.0036101083032490976,Indonesia,Indonesien,Indonésie,Indonesia,Indonesia,Indonésia,Индонезия,印度尼西亚,インドネシア,أندونيسيا
55.8628285,-4.2428535,University of Strathclyde,277,-,-,280,0.0036101083032490976,United Kingdom,Vereinigtes Königreich,Royaume-Uni,Regno Unito,Reino Unido,Reino Unido,Британия,英国,英国,المملكة المتحدة
24.789067,120.999263,National Chiao Tung University,207,-,350.5,280,0.003587443946188341,"Taiwan, Province of China","Taiwan, Province of China","Taïwan, Province de Chine",Taiwan,Provincia china de Taiwán,"Taiwan, Província da China",Тайвань (провинция Китайской Народной Республики),中国台湾省,台湾、中国の省,مقاطعة تايوان الصينية
-34.9201652,138.6066669,University of South Australia,279,-,-,280,0.0035842293906810036,Australia,Australien,Australie,Australia,Australia,Austrália,Австралия,澳大利亚,オーストラリア,أستراليا
40.316966,-3.7270795,Carlos III University of Madrid,281,-,-,280,0.0035587188612099642,Spain,Spanien,Espagne,Spagna,España,Espanha,Испания,西班牙,スペイン,إسبانيا
-42.9041217,147.3247697,University of Tasmania,313,-,250.5,280,0.00354924578527063,Australia,Australien,Australie,Australia,Australia,Austrália,Австралия,澳大利亚,オーストラリア,أستراليا
50.0871106,14.4234889,Charles University in Prague,314,-,250.5,280,0.00354295837023915,Czech Republic,Tschechische Republik,République tchèque,Repubblica Ceca,República Checa,República Tcheca,Чешская Республика,捷克共和国,チェコ,تشيكيا
51.8921099,-8.4932737,University College Cork,283,-,-,280,0.0035335689045936395,Ireland,Irland,Irlande,Irlanda,Irlanda,Irlanda,Ирландия,爱尔兰,アイルランド,أيرلندا
-41.2904017,174.7686615,Victoria University of Wellington,219,-,350.5,280,0.003511852502194908,New Zealand,Neuseeland,Nouvelle-Zélande,Nuova Zelanda,Nueva Zelandia,Nova Zelândia,Новая Зеландия,新西兰,ニュージーランド,نيوزيلندا
30.5360485,114.3643219,Wuhan University,282,-,250.5,270,0.003755868544600939,China,China,Chine,Cina,China,China,Китай,中国,中国,الصين
40.5466983,-3.6943619,Autonomous University of Madrid,187,-,350.5,270,0.0037209302325581397,Spain,Spanien,Espagne,Spagna,España,Espanha,Испания,西班牙,スペイン,إسبانيا
58.3978364,15.5760072,Linköping University,287,-,250.5,270,0.0037209302325581397,Sweden,Schweden,Suède,Svezia,Suecia,Suécia,Швеция,瑞典,スウェーデン,السويد
48.8469373,2.344468,Pantheon-Sorbonne University,269,-,-,270,0.0037174721189591076,France,Frankreich,France,Francia,Francia,França,Франция,法国,フランス,فرنسا
48.841069,2.587983,Ecole des Ponts ParisTech,270,-,-,270,0.003703703703703704,France,Frankreich,France,Francia,Francia,França,Франция,法国,フランス,فرنسا
42.8014859,-1.6597295,University of Navarre,270,-,-,270,0.003703703703703704,Spain,Spanien,Espagne,Spagna,España,Espanha,Испания,西班牙,スペイン,إسبانيا
13.0218597,77.5671423,Indian Institute of Science,190,-,350.5,270,0.0037002775208140612,India,Indien,Inde,India,India,Índia,Индия,印度,インド,الهند
43.293621,5.358066,Aix-Marseille University,415.5,-,125.5,270,0.0036968576709796672,France,Frankreich,France,Francia,Francia,França,Франция,法国,フランス,فرنسا
52.6219215,1.2391761,University of East Anglia,274,188,350.5,270,0.0036923076923076927,United Kingdom,Vereinigtes Königreich,Royaume-Uni,Regno Unito,Reino Unido,Reino Unido,Британия,英国,英国,المملكة المتحدة
35.6489643,139.7429376,Keio University,192,-,350.5,270,0.003686635944700461,Japan,Japan,Japon,Giappone,Japón,Japão,Япония,日本,日本,اليابان
